title,description,price,area,location,date
"Maison, Terrain û  vendre û  Cotonou",, 9 500 000 000 FCFA ,"


Surface Terrain
1000.00 môý


"," au bord du goudron de la Marina non loin du Carrefour EREVAN COTONOU., Cotonou ","

  Publiûˋ le 22/01/2024	
"
Terrain û  vendre û  Tori-cadaô ,, 450 000 FCFA ,"


Surface Terrain
500.00 môý


"," Tori Cada plus prûˋcisûˋment û  Zounmûˆ, situûˋes û  25 minutes du marchûˋ de Glo DJIGBû dans une zone en pleine agglomûˋration,, Tori-bossitoô , 133 ","

  Publiûˋ le 16/01/2024	
"
Terrain Ă  vendre Ă  Cotonou,, 65 000 000 FCFA ,"


Surface Terrain
450.00 mÂ˛


"," COTONOU CADJEHOUN, Cotonou ","

  PubliĂŠ le 16/01/2024	
"
Terrain Ă  vendre Ă  GodomeyÂ ,, 150 000 000 FCFA ,"


Surface Terrain
1003.00 mÂ˛


"," Godomey boulangerie saint Daniel, Abomey-calaviÂ , 139 ","

  PubliĂŠ le 16/01/2024	
"
"Maison, Terrain û  vendre û  Cotonou",, 135 000 000 FCFA ,"


Surface Terrain
531.00 môý


Nombre de cuisine(s)
1


Type compteur
							Conventionnel							
						
						


Nombre de salon(s)
3


Chambre(s) û  coucher
5


Nombre de salle de bains
6


"," Akpakpa zone des ambassades, Cotonou ","

  Publiûˋ le 15/01/2024	
"
Terrain Ă  vendre Ă   Togbin â€“Daho,, 18 000 000 FCFA ,"


Surface Terrain
360.00 mÂ˛


"," sise Ă  Togbin zone 2 derriĂ¨re le Nouvel HĂ´pital Militaire de Talon qui est en face du bar  restaurant le plaisir,, Abomey-calaviÂ , 139 ","

  PubliĂ© le 12/01/2024	
"
Terrain Ã  vendre Ã  Abomey-calaviÂ ,, 6 500 000 FCFA ,"


Surface Terrain
350.00 mÂē


"," calavi Akassato Gbetagbo juste derriÃĻre la clÃīture de colas Ã  700m exactement du goudron, Abomey-calaviÂ  ","

  PubliÃĐ le 12/01/2024	
"
Terrain û  vendre û   Glo-tokpa,, 2 000 000 FCFA ,"


Surface Terrain
350.00 môý


"," GLO FANTO, Abomey-calaviô , 137 ","

  Publiûˋ le 12/01/2024	
"
Terrain û  vendre û   Houû´to,, 8 000 000 FCFA ,"


Surface Terrain
371.00 môý


"," CALVI OUETO, Abomey-calaviô , 143 ","

  Publiûˋ le 12/01/2024	
"
Terrain Ă  vendre Ă  Cotonou,, 30 000 000 FCFA ,"


Surface Terrain
526.00 mÂ˛


"," FIDJROSSĂ AKOGBATO DERRIĂRE L'ĂGLISE CATHOLIQUE, Cotonou ","

  PubliĂŠ le 12/01/2024	
"
"Maison, Terrain Ă  vendre Ă  Cotonou",, 170 000 000 FCFA ,"


Surface Terrain
500.00 mÂ²


"," Agla - rue Filao, non loin des pavĂ©s passant devant de la base des chinois, Cotonou ","

  PubliĂ© le 11/01/2024	
"
Terrain û  vendre û   Glo-tokpa,, 3 000 000 FCFA ,"


Surface Terrain
350.00 môý


"," glo CEG 3, Abomey-calaviô , 137 ","

  Publiûˋ le 09/01/2024	
"
"Maison, Terrain ├Ā vendre ├Ā Godomey┬Ā",, 55 000 000 FCFA ,"


Surface Terrain
376.00 m┬▓


Nombre de cuisine(s)
1


Type compteur
							Conventionnel							
						
						


Nombre de salon(s)
1


Chambre(s) ├Ā coucher
3


Nombre de salle de bains
3


"," GODOMEY PK14, Abomey-calavi┬Ā, 139 ","

  Publi├® le 09/01/2024	
"
"Maison, Terrain Ă  vendre Ă   LesÂ Cocotiers",, 280 000 000 FCFA ,"


Surface Terrain
281.00 mÂ˛


"," DANS COCOTIERS, Cotonou, 353 ","

  PubliĂ© le 09/01/2024	
"
"Maison, Terrain Ă  vendre Ă   Cocotomey",, 32 000 000 FCFA ,"


Surface Terrain
333.00 mÂ˛


Nombre de cuisine(s)
1


Type compteur
							Conventionnel							
						
						


Nombre de salon(s)
1


Chambre(s) Ă  coucher
3


Nombre de salle de bains
4


"," situĂŠe a cocotomey, Abomey-calaviÂ , 139 ","

  PubliĂŠ le 09/01/2024	
"
"Maison, Terrain ├Ā vendre ├Ā  Fidjross├© Kpota",, 180 000 000 FCFA ,"


Surface Terrain
500.00 m┬▓


"," Cotonou pr├®cisement ├Ā fidjross├© kpota non loin de l'a├®roport, Cotonou, 353 ","

  Publi├® le 09/01/2024	
"
Terrain Ă  vendre Ă   FidjrossĂ¨ Centre,, 65 000 000 FCFA ,"


Surface Terrain
643.00 mÂ˛


"," FidjrossĂ¨ dans la rue de la BOA ADJAHA, Cotonou, 353 ","

  PubliĂ© le 08/01/2024	
"
Terrain Ă  vendre Ă  Cotonou,, 25 000 000 FCFA ,"


Surface Terrain
402.00 mÂ˛


"," Agla  dans la von zĂŠro soucis,, Cotonou ","

  PubliĂŠ le 08/01/2024	
"
Terrain Ã  vendre Ã  Cotonou,, 12 000 000 FCFA ,"


Surface Terrain
300.00 mÂē


"," Agla  zone de l'ÃĐglise Catholique St  Pierre & Paul, Cotonou ","

  PubliÃĐ le 08/01/2024	
"
Terrain Ă  vendre Ă   Zopah,, 24 000 000 FCFA ,"


Surface Terrain
616.00 mÂ˛


"," Calavi Zopah juste derriĂ¨re hĂ´pital des zones, Abomey-calaviÂ , 136 ","

  PubliĂŠ le 08/01/2024	
"
"Maison, Terrain Ă  vendre Ă  PahouÂ ",, 12 000 000 FCFA ,"


Surface Terrain
631.00 mÂ˛


Nombre de cuisine(s)
1


Nombre de salon(s)
1


Chambre(s) Ă  coucher
3


Nombre de salle de bains
4


"," Pahou kpota , aprĂ¨s chez Patou, OuidahÂ , 114 ","

  PubliĂŠ le 08/01/2024	
"
Terrain û  vendre û  Godomeyô ,, 30 000 000 FCFA ,"


Surface Terrain
466.00 môý


"," dans la commune d'Abomey Calavi non loin de l'ûˋchangeur de godomey au bord du rue nouvellement pavûˋe, Abomey-calaviô , 139 ","

  Publiûˋ le 27/12/2023	
"
Terrain û  vendre û  Cotonou,, 40 000 000 FCFA ,"


Surface Terrain
518.00 môý


"," AKPAKPA SûGBûYA, Cotonou ","

  Publiûˋ le 26/12/2023	
"
"Maison, Terrain Ă  vendre Ă  Seme-podjiÂ ",, 180 000 000 FCFA ,"


Surface Terrain
500.00 mÂ˛


"," Akpakpa PK10 au bord des pavĂŠs, Seme-podjiÂ  ","

  PubliĂŠ le 26/12/2023	
"
Terrain Ă  vendre Ă   Cococodji,, 22 000 000 FCFA ,"


Surface Terrain
999.00 mÂ˛


"," cococodji situĂŠe derriĂ¨re Oiseaux blanc Ă  peine 300 mettres du goudron Inter_Etat et non loin des rails, Abomey-calaviÂ , 139 ","

  PubliĂŠ le 21/12/2023	
"
Terrain Ă  vendre Ă  Abomey-calaviÂ ,, 25 000 000 FCFA ,"


Surface Terrain
575.00 mÂ˛


"," Calavi Zoca non loin de l'hĂ´pital de rĂŠfĂŠrence, au bord d'une voie, Abomey-calaviÂ  ","

  PubliĂŠ le 21/12/2023	
"
Terrain û  vendre û  Ouedoô ,, 1 800 000 FCFA ,"


Surface Terrain
500.00 môý


"," CALAVI OUûDO KPOSSIDJA, Abomey-calaviô , 142 ","

  Publiûˋ le 21/12/2023	
"
Terrain Ă  vendre Ă   ZogbadjĂ¨,, 15 000 000 FCFA ,"


Surface Terrain
492.00 mÂ˛


"," CALAVI ZOGBADJĂ derriĂ¨re la clĂ´ture IITA, Abomey-calaviÂ , 136 ","

  PubliĂŠ le 21/12/2023	
"
Terrain Ã  vendre Ã   Godomey-Togoudo,, 1 400 000 FCFA ,"


Surface Terrain
500.00 mÂē


"," derriÃĻre le centre de santÃĐ de togoudo juste Ã  cÃītÃĐ de l'ÃĐglise catholique Ã  100m de l'ÃĐcole primaire publique., Abomey-calaviÂ , 139 ","

  PubliÃĐ le 21/12/2023	
"
"Maison, Terrain Ã  vendre Ã   Zopah",, 83 500 000 FCFA ,"


Surface Terrain
540.00 mÂē


"," Abomey-Calavi, Zopah Ã  proximitÃĐ du commissariat d'Akassato, Abomey-calaviÂ , 136 ","

  PubliÃĐ le 21/12/2023	
"
Terrain û  vendre û   Akogbato,, 22 000 000 FCFA ,"


Surface Terrain
414.00 môý


"," Akogbato  en deuxiû´me position du goudron, Cotonou, 353 ","

  Publiûˋ le 21/12/2023	
"
Terrain Ă  vendre Ă  TogbaÂ ,, 12 000 000 FCFA ,"


Surface Terrain
633.00 mÂ˛


"," calavi Togba Jean Piaget 3, Abomey-calaviÂ , 143 ","

  PubliĂŠ le 20/12/2023	
"
Terrain Ă  vendre Ă  DjeregbeÂ ,, 35 000 000 FCFA ,"


Surface Terrain
650.00 mÂ˛


"," YagbĂŠ /DjĂ¨rĂ¨gbĂŠ face route Cotonou Porto novo et ĂŠgalement face Ă  la vons de 20 mĂ¨tres nous conduisant Ă  la radio WĂŞkĂŞ, Seme-podjiÂ , 406 ","

  PubliĂŠ le 20/12/2023	
"
Terrain û  vendre û  Djeregbeô ,, 28 000 000 FCFA ,"


Surface Terrain
709.00 môý


"," Yagbûˋ /Djû´rû´gbûˋ face route Cotonou Porto novo et ûˋgalement face û  la vons de 20 mû´tres nous conduisant û  la radio Wûˆkûˆ., Seme-podjiô , 406 ","

  Publiûˋ le 20/12/2023	
"
Terrain Ă  vendre Ă   Akogbato,, 13 000 000 FCFA ,"


Surface Terrain
237.00 mÂ˛


"," FidjrossĂ¨- Akogbato non loin du carrefour de l'ĂŠglise catholique Sainte Famille d'Akogbato et du bar Diaspora., Cotonou, 353 ","

  PubliĂŠ le 20/12/2023	
"
Terrain û  vendre û   Cocotomey,, 12 000 000 FCFA ,"


Surface Terrain
348.00 môý


"," Cocotomey dans la von de aglouza carrefour au bord de la voie principale û  peine 2 minutes du goudron, Abomey-calaviô , 139 ","

  Publiûˋ le 20/12/2023	
"
Terrain û  vendre û  Ze,, 1 200 000 FCFA ,"


Surface Terrain
500.00 môý


"," Zû û 7 KILOMûTRES ENVIRON DU MARCHû ET DU COMMISSARIAT DE Zû, Ze ","

  Publiûˋ le 20/12/2023	
"
Terrain û  vendre û  Cotonou,, 250 000 000 FCFA ,"


Surface Terrain
844.00 môý


"," COTONOU ( TOKPA Ananas SODJI ), Cotonou ","

  Publiûˋ le 20/12/2023	
"
Terrain Ă  vendre Ă  Cotonou,, 370 000 000 FCFA ,"


Surface Terrain
620.00 mÂ˛


"," Cotonou au bord du goudron qui passe devant l'ĂŠglise St Michel    et mĂ¨ne aualv grand carrefour UNAFRICA, Cotonou ","

  PubliĂŠ le 19/12/2023	
"
Terrain û  vendre û   Adounko,, 10 000 000 FCFA ,"


Surface Terrain
525.00 môý


"," adounko, Ouidahô , 110 ","

  Publiûˋ le 18/12/2023	
"
Terrain Ă  vendre Ă   Cococodji,, 15 000 000 FCFA ,"


Surface Terrain
520.00 mÂ˛


"," ADOUNKO Ă  quelques metre du CEG MERIDIEN, Abomey-calaviÂ , 139 ","

  PubliĂŠ le 18/12/2023	
"
Terrain û  vendre û  Cotonou,, 19 000 000 FCFA ,"


Surface Terrain
310.00 môý


"," AGLA gbodjetin dans von de zûˋro soucis, Cotonou ","

  Publiûˋ le 12/12/2023	
"
Terrain û  vendre û  Cotonou,, 80 000 000 FCFA ,"


Surface Terrain
426.00 môý


"," û TOGBIN PLAGE - FIDJROSSû - ROUTE DES PûCHES, Cotonou ","

  Publiûˋ le 12/12/2023	
"
"Maison, Terrain Ã  vendre Ã   Cococodji",, 30 000 000 FCFA ,"


Surface Terrain
500.00 mÂē


"," COCOCODJI JUSTE DERNIÃRE OISEAUX BLANC, Abomey-calaviÂ , 139 ","

  PubliÃĐ le 12/12/2023	
"
"Maison, Terrain Ã  vendre Ã  PahouÂ ",, 17 000 000 FCFA ,"


Surface Terrain
535.00 mÂ²


"," Pahou Colas Ã  cÃ´tÃ© de l'Ã©cole privÃ©e primaire et secondaire LA MERVEILLE, OuidahÂ , 114 ","

  PubliÃ© le 12/12/2023	
"
Terrain Ă  vendre Ă  Cotonou,, 130 000 000 FCFA ,"


Surface Terrain
980.00 mÂ˛


"," AĂŻbatin en face du Commissariat de la Police RĂŠpublicaine Ă  Adjaha, FidjrossĂ¨., Cotonou ","

  PubliĂŠ le 12/12/2023	
"
Terrain û  vendre û   Zogbo,, 40 000 000 FCFA ,"


Surface Terrain
566.00 môý


"," ZOGBO NON LOIN DE l'ANCIENNE BOULANGERIE, Cotonou, 350 ","

  Publiûˋ le 11/12/2023	
"
Terrain û  vendre û   Akogbato,, 40 000 000 FCFA ,"


Surface Terrain
512.00 môý


"," fidjrossû´ akogbato au bord d'une voie de 15, dans la citûˋ glû´lû´, Cotonou, 353 ","

  Publiûˋ le 11/12/2023	
"
Terrain 脿 vendre 脿 Cotonou,, 20 000 000 FCFA ,"


Surface Terrain
395.00 m虏


"," PHARMACIE LULI - LULI POUR CLINIQUE VIE ABONDANTE, Cotonou ","

  Publi茅 le 11/12/2023	
"
Terrain Ã  vendre Ã  GodomeyÂ ,, 60 000 000 FCFA ,"


Surface Terrain
671.00 mÂē


"," GODOMEY SALAMEY - ZONE KANGLOUÃ DERRIÃRE LE CEG GODOMEY, Abomey-calaviÂ , 139 ","

  PubliÃĐ le 11/12/2023	
"
Terrain û  vendre û   Fidjrossû´ Kpota,, 17 000 000 FCFA ,"


Surface Terrain
365.00 môý


"," fidjrossû´ kpota non loin de l'ecole de base et du carrefour bar dûˋtinssa, Cotonou, 353 ","

  Publiûˋ le 11/12/2023	
"
Terrain û  vendre û   Dû´koungbûˋ-Usine,, 16 500 000 FCFA ,"


Surface Terrain
404.00 môý


"," GODOMEY  DEKOUNGBû, Abomey-calaviô , 139 ","

  Publiûˋ le 11/12/2023	
"
