title,description,price,area,date,city,location
Parcelle ,"Détails du produitParcelle size à glo dans la von de l'hôpital et le commissariat 
environ 600m du goudron",25000000,3600,2024-02,glo,"GLO, Rue 2147, Hlazounto, 12ᵉ Arrondissement, Cotonou, Abomey-Calavi, Atlantique, Bénin"
Terrains 350m²  ,"Détails du produitBonjour. notre cabinet met en vente une parcelle de 350m2, située à abomey-calavi, plus précisement à zogbadjè, au prix de douze millions (négociable). les documents juridiques disponibles sont les suivants: la convention, le reçu de recasement, le plan.",12000000,350,2024-02,abomey-calavi,"Abomey-Calavi, Atlantique, Bénin"
Parcelle 325 m2 ,"Détails du produitNous mettons en vente a akpakpa avotrou une parcelle de superficie 325m2 dans la zone de institut universitaire les grâces a 100 m des pavés  bien situé.
entoure pas de belle maison 
*prix:25millions 
héritier 
papiers a jour",25000000,325,2024-02,akpakpa avotrou,"Imoro, Ikpinlè, Adja-Ouèrè, Plateau, Bénin"
Parcelles 631m²,"Détails du produitNous mettons en vente pour un propriétaire à agla pylônes 
2 parcelles ensemble cloturées avec des constructions précaires à rasées ou à coservée
située à 80 des pavés,
superficie : 631 m²
documents : attestation de recasement + levé topographique + tf en cours
prix: 115.000.000 f à débattre.
propriétaire vivant",45000000,684,2024-02,sagla,None
Parcelles ,Détails du produitIl est mis en vente à hêvié dossounou commune d'abomey calavi. des parcelles sécurisées à quelques mètres de la voie bitumée.,3200000,500,2024-02,hevié,"Hêvié, Abomey-Calavi, Atlantique, Bénin"
Parcelle 500 m2 ,"Détails du produitNous mettons en vente à *hevié dossounou* une parcelle non recasée avec le numéro d'état des lieux...de *superficie 500m²* dans une zone fortement habitué & *situé à 200m* de la voie principale où il y *déjà l'eau & électricité
propriétaire vivant
""parcelle n°8""
prix : 2 800 000
dossier sûr",2800000,500,2024-02,hevie dossounnou,"Hêvié, Abomey-Calavi, Atlantique, Bénin"
Parcelle 310 m2 ,"Détails du produitParcelle lotie et recasée 
superficie: 310m2
aglouza carrefour von du buvette destino ( ahouandjo)
prix: 15 millions",15000000,310,2024-02,cococotomey zone baa ahouandjo,"Benin Street, Barangay 86, Zone 8, Grace Park East, District 2, Caloocan, Northern Manila District, Metro Manila, 1405, Philippines
Benin Drug Store, Benin Street, Barangay 86, Zone 8, Grace Park East, District 2, Caloocan, Northern Manila District, Metro Manila, 1405, Philippines
Consulado Honorario de Benín, 300, Calle de Enrique Nvó, Los Ángeles, Santa Isabel, Malabo, Bioko Norte, Región Insular, Guinea Ecuatorial"
Parcelle 544 m2 ,"Détails du produitA vendre
 à zopah
il est mise en vente  dans la zopah  en face de erevan dans la rue youki ou nanyovo à environ 400m du goudron inter-etat avec une vue directe sur le goudron depuis le portail ; une parcelle clôturée de 544m² avec tf personnel.
prix: 25 millions
co¹direct",25000000,544,2024-02,calavi zopah,"Gandu house Benin, RNIE 2, Awhanléko, Zoca, Abomey-Calavi, Atlantique, Bénin"
Parcelle 594m2 ,"Détails du produitDossier direct propriétaire direct 
grande opportunité de parcelle à vendre à godomey
situation géographique :  la  parcelle est située à godomey n'gbeho proche des pavés et dans une rue résidentielle 
superficie : 594 m² avec reçu de recasement, heritage document à jour

*#atouts:* grande parcelle bien située pour tous projets , location, belle villa personelle, residence meublée et autres 

*#prix de cession:* 
26.000.000 fcfa kdo 

*contactez nous pour plus d'informations ????????*",26000000,594,2024-02,godomey ngbeho,"Godomey, Abomey-Calavi, Atlantique, Bénin"
Parcelle 545m² ,"Détails du produitÀ vendre une parcelle nue située au bord du nouveau goudron de fourquet dans zopah.* 

 *superficie: 545 m²* 
 *documents* : *attestation de recasement* 

 prix : 20.000 000 fcfa au lieu de ~30millions~ au départ. une grande opportunité.

 héritage avec papiers à jour.
commission acquéreur 5%",20000000,545,2024-02,zopah,"Zopah, Akassato, Abomey-Calavi, Atlantique, Bénin"
Terrain 400m² ,"Détails du produit6.500.000 kdo
 cette parcelle de 400m2 avec titre foncier est en vente à calavi ouèdo juste derrière les logements sociaux de yayi. côté opposé des logements sociaux de talon.

 un endroit très bien située avec poteaux électrique et habitions à un

prix de 6.500.000 fcfa

droit de visite: 3000
prestation immobilière: 5% serait payer par l'acquéreur.",6500000,400,2024-02,tf calavi,"Ouedo TF bati, RN 30, Somè, Ouèdo, Abomey-Calavi, Atlantique, Bénin"
Parcelle  800m² ,"Détails du produitVoici une opportunité ideale pour des appartements meublés magasins boutiques de haut standing a fidjrossè

(02) parcelles a fidjrossè-togbin au bord des pavés

nous mettons en vente deux (02) parcelles ensemble déjà morcelée au bord des pavés *carrefour club des rois- akogbato* très bien positionnée et dotées d'une attestation de recasement en main

superficie : 800m²(400*2)

prix : 90millions

nb: dossier déjà chez un  notaire

nb: prévoir 5% de commission immobilière",90000000,800,2024-02,fidjrossè,"Fidjrossé, 12ᵉ Arrondissement, Cotonou, Littoral, Bénin"
Parcelle 325m² ,"Détails du produit325 m² clôturée avec attestation de recasement derrière le ceg zogbo a cotonou
nous disposons derrière le ceg zogbo a cotonou une parcelle clôturée avec portail de 325m² dotée dune attestation de recasement a 20millions fcfa
zone très calme et ideale pour une résidence ou une maison locative ou meme une belle villa
pour tous vos besoins de parcelles ou de villas à cotonou et environs 
veuillez nous contacter  
tf négoces 
l'emprunte de l'expérience",20000000,325,2024-02,zogbo ceg,"Zogbo, 9ème Arrondissement, Cotonou, Littoral, Bénin"
Terrain 500m² ,"Détails du produitParcelle lotie de sup:500m² avec plan de situation géographique* à vendre dans une zone *très bien située et viabilisée* à *pahou soglocodji* à un prix forfaitaire.
prix :*4,5millions*
_doc: numéro el dispo
- *convention de vente affirmée à la mairie*
-mutation de nom effectuée
proprio vivant
nb:frais de visite",4500000,500,2024-02,pahou soglocodji,"Gbaou, Pahou, Ouidah, Atlantique, Bénin"
Terrain 4 hectares ,"Détails du produitA vendre 
4 hectares situé à hevier dossounou à la vue de la 1ere dos âne
en n'allant vers tori
pierce disponible :  adc
levé topographique 
3millions par parcelles",3000000,28800,2024-02,hevier,None
Terrain 300m² ,Détails du produitDisponible des lots de parcelles loties et récasée a zéro mettre du ceg 1 kouve dans la commune de akpro misserete 2.500.000f par parcelle possibilité de payer sur plusieurs tranche.,2500000,300,2024-02,akpro-misserete,"Gomè-Sota, Akpro-Missérété, Ouémé, Bénin"
Terrain 700m²  ,"Détails du produitLes grandes surfaces bien positionnées d'akpakpa - cotonou*
1  angle de rue pavé église sacré cœur
700m2
*mise à prix : 150.000.000*",150000000,700,2024-02,akpakpa,"Imoro, Ikpinlè, Adja-Ouèrè, Plateau, Bénin"
Parcelles ,"Détails du produitVente de 2 parcelles à grand popo. prix unitaire 5000.0000. 1er venu, 1er servi. inbox !!",5000000,500,2024-02,grand popo,"Mairie de Grand Popo, RNIE 1, Onkuihoué, Grand-Popo, Mono, Bénin"
Parcelle 508 m² ,"Détails du produitOpportunités immobières inédites dans la zone des ambassades 
     nous mettons en vente à akpakpa dans la zone des ambassades et plus précisément en 2 ème position de la route inter état cotonou porto novo , une parcelle de dimension 508 m2 avec une attestation de recasément. la parcelle est très bien positionnée et répond à toute sorte de projets immobiliers. la zone est très accessible. le gouvernement a un projet spécial dans le quartier, projet de pavage de toutes les rue. nous avons de nombreuses offres dans la zones et très bien positionnées.",50000000,508,2024-02,akpakpa,"Imoro, Ikpinlè, Adja-Ouèrè, Plateau, Bénin"
Terrain 7415m²  ,"Détails du produitDu nouveau une opportunité d'un grand domaine de 7415m² à vendre avec titre foncier à calavi 


disponible immédiatement à calavi, un grand domaine de 7415m² à vendre, avec titre foncier, au bord du goudron, (route inter-état cotonou abomey) bien positionnée, et bon pour tout projet.

documents : titre foncier

prix globale : 700 millions négociables


le plan est disponible",700000000,7415,2024-02,abomey-calavi,"Abomey-Calavi, Atlantique, Bénin"
Terrain 3500m² ,Détails du produitUn particulier met en vente à calavi 7 parcelles ensemble muni d'un tf global dans un domaine de 3500m² en raison de 500m² par parcelle. le domaine est situé à calavi non loin du marché gros en construction,77000000,3500,2024-02,calavi,"Awhanléko, Zoca, Abomey-Calavi, Atlantique, Bénin"
Terrains avec TF ,"Détails du produitTerrain avec titre foncier à vendre
adjagbo - calvaire localisation
il est mis en vente dans l'arrondissement d'akassato, commune  d'abomey-calavi un domaine de 17a 44ca (soit 05 parcelles d’environ 350m2 ensembles) au bord du goudron inter état cotonou niamey avec tf
prix de cession 100.000.000",100000000,1744,2024-02,calavi - adjagbo,"Gandu house Benin, RNIE 2, Awhanléko, Zoca, Abomey-Calavi, Atlantique, Bénin"
Terrains 4 ha ,"Détails du produitNous mettons en vente à yèvié dans l'arrondissement de zinvié, commune d'abomey calavi un grand domaine de 4 hectares.
ledit domaine est situé à 150 m du carrefour haut les mains et du goudron agassa godomey - zinvié._*
documents: tf en cours
prix : 50.000.000 par hectare à débattre",500000,4000,2024-02,yevié,"Ceg Yevie, RNIE 1 B, Porto-Novo, Ouémé, Bénin"
Terrains 2000 m² avec TF ,"Détails du produitNous mettons en vente de toute urgence pour le compte de l'un de nos clients, un domaine de 2000 m² avec tf  dans la commune de cotonou, 10  ème arrondissement, quartier kouhounou  ( yénawa )._*
ledit domaine est situé derrière le 10 ème arrondissement ( l'ex mairie de zogbo ) et à  100 mètres des pavés.
prix de cession :  200.000.000 à débattre légèrement
levé et tf disponibles",200000000,2000,2024-02,kouhounou,"En gros et en détail Poisson séché, Rue 9.100, Menontin, Zogbo, 9ème Arrondissement, Cotonou, Littoral, Bénin"
Terrains 4202m²avec tf ,"Détails du produitIl est mis en vente à dèkoungbé non loin de l'usine d'engrais, au bord des pavés un grand domaine de 4202m² avec tf ouvert sur deux angles de rues.
prix de cession : 210.000.000 last last_*soge",210000000,4202,2024-02,dekoungbé,"complexe scolaire bilingue auxiliatrice de dekoungbe, RNIE 1, Lobozounkpa, Agbocodji, Gbodjè, Abomey-Calavi, Atlantique, Bénin"
Parcelle ,"Détails du produitSog
nous mettons en vente de toute urgence pour le compte de l'un de nos clients, 5 parcelles de 389 m² chacune avec tf  dans la commune de cotonou, 10  ème arrondissement, quartier kouhounou  ( yénawa ).
lesdites parcelles sont situées derrière le 10 ème arrondissement ( l'ex mairie de zogbo ) et à  100 mètres des pavés.
prix de cession :  37.000.000 par parcelle à débattre légèrement
levé et tf disponibles",37000000,37000000,2024-02,kouhounou yenawa,"En gros et en détail Poisson séché, Rue 9.100, Menontin, Zogbo, 9ème Arrondissement, Cotonou, Littoral, Bénin"
Parcelle 532m² ,"Détails du produitGrande parcelle avec titre foncier personnel à vendre à cotonou sikècodji
disponible en vente à cotonou sikècodji von de la mosquée et à 120m du pavé, une parcelle comportant quelques bâtisses vieilles ayant une superficie de 532m² avec titre foncier personnel. héritage . documents à jour.


prix de vente : 62 millions fcfa 
commission sur achat 5%
acquéreur:5% prin",62000000,532,2024-02,sikèkodji,None
Parcelle  400m² TF ,"Détails du produitOpportunité  parcells à pahou

il est mis en vente des parcelles de 400m² chacune, sécurisées, sur titre foncier, à pahou, à 3km du ceg adovié et du goudron (axe pahou-tori). 

une zone très habitée et à très fort potentiel. le domaine est situé non loin du centre des métiers de pahou 

des parcelles en 2è, 3è, 4è et 5è position d'une voie de 20 mètres encore disponible

premier venu premier servi 

*nb : réduction exceptionnelle de 7% pour toute acquisition à partir de 02 parcelles",3499000,400,2024-02,pahou,"Gbaou, Pahou, Ouidah, Atlantique, Bénin"
Parcelle cloturée 800m²,"Détails du produitMisen vente à arconville.
une parcelle au bord des pavées, face au super marché du pont,
non loin du goudron.
cloturé 
superficie:800m²
docs:attestation de recassement, convention, plan
prix:50millions négociable.
visite:5000f",50000000,800,2024-02,arconville,"Rond Point Cité Arconville, RNIE 2, Awhanléko, Zoca, Abomey-Calavi, Atlantique, Bénin"
Parcelle  500m² ,"Détails du produitOpportunité pahou - ahozon

une parcelle de 500m² à ahozon, zone militaire

✓ à 1km du goudron
✓ zone très habitée
✓ électricité disponible

*nb : possibilité de payer par tranche",3300000,500,2024-02,pahou ahozon,"BENIN TRACTEURS, RNIE 1, Gbaou, Ahouikôdji, Pahou, Ouidah, Atlantique, Bénin"
Terrain 2000m²  ,"Détails du produitUne aubaine d'un daine à calavi/ akassato avec tf 

mise en vente
un domaine de 2000m² à calavi/ akassato non loin lycée technique.
zone air afrique

prix:50millions.
document:tf
propriétaire vivant.
pas de vente parcellaire.
visite:10.000f",50000000,2000,2024-02,akassato,"Zopah, Akassato, Abomey-Calavi, Atlantique, Bénin"
Parcelle 600m² TF ,"Détails du produitCalavi - ouèdo sonicog

un particulier met en vente sa parcelle de 600m² sur le domaine tf de sonicog. une zone viabilisée, future zone résidentielle. située à 100m des logements sociaux en construction",9500000,600,2024-02,calavi-ouèdo sonicog,"['Terrain de Football SONICOG, Rue 40, Gbedji, Porto-Novo, Porto Novo, Ouémé, Bénin']"
Parcelle  400m²  TF ,"Détails du produitOpportunité à togba 

un particulier met en vente une parcelle de 400m² sur titre foncier à togba - ouega. juste à 1km du goudron (de la station bénin pétro)

parcelle bien située, contenant déjà un puit bien construit en bonus. zone habitée et très facile d'accès",6500000,400,2024-02,togba,"Ouega, Somè, Togba, Abomey-Calavi, Atlantique, Bénin"
 Parcelle  400m²  TF ,"Détails du produitOpportunité à togba 

un particulier met en vente une parcelle de 400m² sur titre foncier à togba - ouega. juste à 1km du goudron (de la station bénin pétro)

parcelle bien située, contenant déjà un puit bien construit en bonus. zone habitée et très facile d'accès",6500000,400,2024-02,togba,"Ouega, Somè, Togba, Abomey-Calavi, Atlantique, Bénin"
Parcelle 686m² ,"Détails du produitGrande parcelle au bord du goudron a cotonou saint jean.......................
..................................



vente d'une grande parcelle en ville après l'église catholique saint jean , ideal pour tout projet fko


superficie: 686m2


prix de vente: 450 millions a débattre


visite a tout moment",450000000,686,2024-02,cotonou saint jean,"Avenue Codje Tovalou Quénum, 7ème Arrondissement, Cotonou, Littoral, Bénin"
Terrain 542m²,"Détails du produitAbomey calavi parcelle en vente
en vente dans calavi précisément a zopha une parcelle de 542m² non loin du collège la grande académie, elle est au bord dune voie de 15m, une longueur de 32m/16m
_documents:_ héritage, papiers a jour
prix: 25.000.000 négociable",25000000,542,2024-02,abomey calavi,"Abomey-Calavi, Atlantique, Bénin"
Parcelles  ,"Détails du produit10 parcelles disponibles à adjan.. rue après le commissariat de zè, venant de cotonou. 5km du goudron. zone électrifiée et déjà habitée. accès facile",615000,625,2024-02,abidjan,"Ex-cinema Benin, Rue Nostalgie, Quartier Mosquée, Quartier Mosquee, Attécoubé, Abidjan, Côte d’IvoireBénin"
Terrain TF 1000 m2 ,"Détails du produitDomaine tf au bord du goudron 
un particulier met en vente un domaine de 1000² au bord du goudron (axe cotonou-bohicon), à calavi et non loin du carrefour arconville",165000000,1000,2024-02,calavi,"Awhanléko, Zoca, Abomey-Calavi, Atlantique, Bénin"
Parcelles TF 350 m2 ,"Détails du produitCalavi- agori djadjo
un particulier met en vente 02 parcelles de 350m² chacune sur domaine tf à calavi agori djadjo. en zone résidentielle 
document : tf global",12500000,350,2024-02,calavi djadjo,"Awhanléko, Zoca, Abomey-Calavi, Atlantique, Bénin"
Parcelle 12 lots 500m² ,"Détails du produitUn ensemble de 12 parcelles 500m² chacune d'une surface totale de 6017m² est en vente à sékou dodji-aliho voie du ceg ou celle après le commissariat 2km du goudron inter-etat au prix de 7.800.000f le tout soit 650.000f/parcelle. le dit domaine fait borne avec epp dodji-aliho. commune d'allada 

nb: le domaine est à vendre en bloc. visite possible et à la charge du visiteur.",650000,6017,2024-02,sékou,"Ahito, Sékou, Allada, Atlantique, Bénin"
Parcelle 526m² + TF ,"Détails du produitA vendre à akogbato diapora une parcelle situé non loin de diaspora bar 

d'une superficie de 526m² 

 documents : tf personnel

 proprio vivante     

   prix de vente : 38 millions à débattre légèrement.",33000000,526,2024-02,akogbato,"Pharmacie Akogbato, Route des Pêches, Djako Daho, Abomey-Calavi, Atlantique, Bénin"
Terrain 25000m²  ,"Détails du produitUrgent  un domaine de 2 hectares et demi au benin commune abomey calavi quartier kanssounkpa environs 1.5 km du nouveau marche gros avec tf 





nous mettons en vente un domaine de 2hectares et demi à vendre à abomey calavi kanssounkpa non loin du nouveau goudron et du nouveau marché une zone très viabilisée avec 
✅une école primaire dans les environs 
✅ une entreprise agricole à coté 
✅un complexe scolaire privé 
✅une église protestante 
✅ un titre foncier",180500000,25000,2024-02,abomey-calavi,"Abomey-Calavi, Atlantique, Bénin"
